Timestamp, Ref Steering Angle, Current Steering Angle, Steering Angle Difference, Estimated Delay
2025-01-14 04:36:36,0.444,0.444,0,0
2025-01-14 04:36:36,0.444,0.444,0,0
2025-01-14 04:36:36,0.443997,0.444,0,0
2025-01-14 04:36:36,0.444,0.443997,0,0
2025-01-14 04:36:36,0.444,0.444,0,0
2025-01-14 04:36:36,0.444,0.444,0,0
2025-01-14 04:36:36,0.444,0.444,0,0
2025-01-14 04:36:36,0.444,0.444,0,0
2025-01-14 04:36:36,0.444,0.444,0,0
2025-01-14 04:36:37,0.444,0.444,0,0
2025-01-14 04:36:37,0.444,0.444,0,0
2025-01-14 04:36:37,0.444,0.444,0,0
2025-01-14 04:36:37,0.444,0.444,0,0
2025-01-14 04:36:37,0.444,0.444,0,0
2025-01-14 04:36:37,0.444,0.444,0,0
2025-01-14 04:36:37,0.444,0.444,0,0
2025-01-14 04:36:37,0.444,0.444,0,0
2025-01-14 04:36:37,0.444,0.444,0,0
2025-01-14 04:36:38,0.444,0.444,0,0
2025-01-14 04:36:38,0.444,0.444,0,0
2025-01-14 04:36:38,0.444,0.444,0,0
2025-01-14 04:36:38,0.444,0.444,0,0
2025-01-14 04:36:38,0.444,0.444,0,0
2025-01-14 04:36:38,0.444,0.444,0,0
2025-01-14 04:36:38,0.444,0.444,0,0
2025-01-14 04:36:38,0.444,0.444,0,0
